county_state,county,state_id,state_name
Catahoula_Louisiana,Catahoula,LA,Louisiana
Marshall_Kansas,Marshall,KS,Kansas
Calhoun_Iowa,Calhoun,IA,Iowa
Parmer_Texas,Parmer,TX,Texas
Johnson_Georgia,Johnson,GA,Georgia
White Pine_Nevada,White Pine,NV,Nevada
Linn_Kansas,Linn,KS,Kansas
Rice_Kansas,Rice,KS,Kansas
Grand_Utah,Grand,UT,Utah
Brown_Kansas,Brown,KS,Kansas
Cheyenne_Nebraska,Cheyenne,NE,Nebraska
Jones_North Carolina,Jones,NC,North Carolina
Jasper_Illinois,Jasper,IL,Illinois
McLean_North Dakota,McLean,ND,North Dakota
Blaine_Oklahoma,Blaine,OK,Oklahoma
Humboldt_Iowa,Humboldt,IA,Iowa
McCormick_South Carolina,McCormick,SC,South Carolina
Greenlee_Arizona,Greenlee,AZ,Arizona
Clear Creek_Colorado,Clear Creek,CO,Colorado
Stillwater_Montana,Stillwater,MT,Montana
Pratt_Kansas,Pratt,KS,Kansas
Emmet_Iowa,Emmet,IA,Iowa
Beaverhead_Montana,Beaverhead,MT,Montana
Hickory_Missouri,Hickory,MO,Missouri
Rock_Minnesota,Rock,MN,Minnesota
Marshall_Minnesota,Marshall,MN,Minnesota
St. Clair_Missouri,St. Clair,MO,Missouri
Stephens_Texas,Stephens,TX,Texas
Clarke_Iowa,Clarke,IA,Iowa
Swift_Minnesota,Swift,MN,Minnesota
Charles Mix_South Dakota,Charles Mix,SD,South Dakota
Wayne_Nebraska,Wayne,NE,Nebraska
Irwin_Georgia,Irwin,GA,Georgia
Perry_Alabama,Perry,AL,Alabama
McLean_Kentucky,McLean,KY,Kentucky
Montmorency_Michigan,Montmorency,MI,Michigan
Valdez-Cordova_Alaska,Valdez-Cordova,AK,Alaska
Livingston_Kentucky,Livingston,KY,Kentucky
Brewster_Texas,Brewster,TX,Texas
Howard_Iowa,Howard,IA,Iowa
Hamilton_Nebraska,Hamilton,NE,Nebraska
Ozark_Missouri,Ozark,MO,Missouri
Lee_Arkansas,Lee,AR,Arkansas
Pipestone_Minnesota,Pipestone,MN,Minnesota
Rosebud_Montana,Rosebud,MT,Montana
Alger_Michigan,Alger,MI,Michigan
Benewah_Idaho,Benewah,ID,Idaho
Deer Lodge_Montana,Deer Lodge,MT,Montana
Phelps_Nebraska,Phelps,NE,Nebraska
Claiborne_Mississippi,Claiborne,MS,Mississippi
Montgomery_Georgia,Montgomery,GA,Georgia
Woods_Oklahoma,Woods,OK,Oklahoma
Caldwell_Missouri,Caldwell,MO,Missouri
Allendale_South Carolina,Allendale,SC,South Carolina
Dawson_Montana,Dawson,MT,Montana
Wilkinson_Georgia,Wilkinson,GA,Georgia
Palo Alto_Iowa,Palo Alto,IA,Iowa
Crittenden_Kentucky,Crittenden,KY,Kentucky
Forest_Wisconsin,Forest,WI,Wisconsin
Cuming_Nebraska,Cuming,NE,Nebraska
Montgomery_Arkansas,Montgomery,AR,Arkansas
Greene_Iowa,Greene,IA,Iowa
Cloud_Kansas,Cloud,KS,Kansas
Davis_Iowa,Davis,IA,Iowa
Modoc_California,Modoc,CA,California
Kiowa_Oklahoma,Kiowa,OK,Oklahoma
Wilkinson_Mississippi,Wilkinson,MS,Mississippi
Somervell_Texas,Somervell,TX,Texas
Jack_Texas,Jack,TX,Texas
Wilcox_Georgia,Wilcox,GA,Georgia
Clearwater_Minnesota,Clearwater,MN,Minnesota
Tyler_West Virginia,Tyler,WV,West Virginia
Dawes_Nebraska,Dawes,NE,Nebraska
Maries_Missouri,Maries,MO,Missouri
Jenkins_Georgia,Jenkins,GA,Georgia
Mathews_Virginia,Mathews,VA,Virginia
Carroll_Missouri,Carroll,MO,Missouri
Terrell_Georgia,Terrell,GA,Georgia
Gallatin_Kentucky,Gallatin,KY,Kentucky
Monona_Iowa,Monona,IA,Iowa
Hancock_Kentucky,Hancock,KY,Kentucky
Custer_South Dakota,Custer,SD,South Dakota
Archer_Texas,Archer,TX,Texas
Clay_West Virginia,Clay,WV,West Virginia
Wilson_Kansas,Wilson,KS,Kansas
Benton_Indiana,Benton,IN,Indiana
Clearwater_Idaho,Clearwater,ID,Idaho
Sitka_Alaska,Sitka,AK,Alaska
Lafayette_Florida,Lafayette,FL,Florida
Yoakum_Texas,Yoakum,TX,Texas
Monroe_Missouri,Monroe,MO,Missouri
Lucas_Iowa,Lucas,IA,Iowa
Platte_Wyoming,Platte,WY,Wyoming
Red River_Louisiana,Red River,LA,Louisiana
Doddridge_West Virginia,Doddridge,WV,West Virginia
Trimble_Kentucky,Trimble,KY,Kentucky
Mitchell_Texas,Mitchell,TX,Texas
Hancock_Georgia,Hancock,GA,Georgia
Graham_North Carolina,Graham,NC,North Carolina
Cedar_Nebraska,Cedar,NE,Nebraska
Harrison_Missouri,Harrison,MO,Missouri
Johnson_Wyoming,Johnson,WY,Wyoming
Mercer_North Dakota,Mercer,ND,North Dakota
Pocahontas_West Virginia,Pocahontas,WV,West Virginia
Marion_Georgia,Marion,GA,Georgia
Knox_Nebraska,Knox,NE,Nebraska
Baraga_Michigan,Baraga,MI,Michigan
Humphreys_Mississippi,Humphreys,MS,Mississippi
Webster_West Virginia,Webster,WV,West Virginia
Nevada_Arkansas,Nevada,AR,Arkansas
Liberty_Florida,Liberty,FL,Florida
Coleman_Texas,Coleman,TX,Texas
Hamilton_Texas,Hamilton,TX,Texas
Quay_New Mexico,Quay,NM,New Mexico
Greene_Alabama,Greene,AL,Alabama
Seminole_Georgia,Seminole,GA,Georgia
Bracken_Kentucky,Bracken,KY,Kentucky
Madison_Montana,Madison,MT,Montana
Turner_South Dakota,Turner,SD,South Dakota
Murray_Minnesota,Murray,MN,Minnesota
Daviess_Missouri,Daviess,MO,Missouri
San Augustine_Texas,San Augustine,TX,Texas
Choctaw_Mississippi,Choctaw,MS,Mississippi
Lyon_Kentucky,Lyon,KY,Kentucky
Coffey_Kansas,Coffey,KS,Kansas
Kusilvak_Alaska,Kusilvak,AK,Alaska
Oscoda_Michigan,Oscoda,MI,Michigan
Atkinson_Georgia,Atkinson,GA,Georgia
Warren_Indiana,Warren,IN,Indiana
Benton_Mississippi,Benton,MS,Mississippi
Twiggs_Georgia,Twiggs,GA,Georgia
Shannon_Missouri,Shannon,MO,Missouri
Prairie_Arkansas,Prairie,AR,Arkansas
Hamilton_Illinois,Hamilton,IL,Illinois
Houston_Tennessee,Houston,TN,Tennessee
Cleveland_Arkansas,Cleveland,AR,Arkansas
Conejos_Colorado,Conejos,CO,Colorado
Taylor_Georgia,Taylor,GA,Georgia
Clay_Kansas,Clay,KS,Kansas
Keith_Nebraska,Keith,NE,Nebraska
McCulloch_Texas,McCulloch,TX,Texas
San Miguel_Colorado,San Miguel,CO,Colorado
Schoolcraft_Michigan,Schoolcraft,MI,Michigan
Gilmer_West Virginia,Gilmer,WV,West Virginia
Ballard_Kentucky,Ballard,KY,Kentucky
Butler_Nebraska,Butler,NE,Nebraska
Washakie_Wyoming,Washakie,WY,Wyoming
Traill_North Dakota,Traill,ND,North Dakota
Decatur_Iowa,Decatur,IA,Iowa
Perry_Tennessee,Perry,TN,Tennessee
Richardson_Nebraska,Richardson,NE,Nebraska
Turner_Georgia,Turner,GA,Georgia
Wheeler_Georgia,Wheeler,GA,Georgia
Searcy_Arkansas,Searcy,AR,Arkansas
Winkler_Texas,Winkler,TX,Texas
Lincoln_Georgia,Lincoln,GA,Georgia
Lemhi_Idaho,Lemhi,ID,Idaho
Lake_Oregon,Lake,OR,Oregon
Anderson_Kansas,Anderson,KS,Kansas
Newton_Arkansas,Newton,AR,Arkansas
Thomas_Kansas,Thomas,KS,Kansas
Monroe_Iowa,Monroe,IA,Iowa
Merrick_Nebraska,Merrick,NE,Nebraska
Lake_Colorado,Lake,CO,Colorado
Franklin_Mississippi,Franklin,MS,Mississippi
Northwest Arctic_Alaska,Northwest Arctic,AK,Alaska
Major_Oklahoma,Major,OK,Oklahoma
Doniphan_Kansas,Doniphan,KS,Kansas
Castro_Texas,Castro,TX,Texas
Power_Idaho,Power,ID,Idaho
Clay_Tennessee,Clay,TN,Tennessee
Dade_Missouri,Dade,MO,Missouri
Ferry_Washington,Ferry,WA,Washington
Goliad_Texas,Goliad,TX,Texas
Elliott_Kentucky,Elliott,KY,Kentucky
Kane_Utah,Kane,UT,Utah
Chariton_Missouri,Chariton,MO,Missouri
Pleasants_West Virginia,Pleasants,WV,West Virginia
Crook_Wyoming,Crook,WY,Wyoming
Valley_Montana,Valley,MT,Montana
Grant_Kansas,Grant,KS,Kansas
Kit Carson_Colorado,Kit Carson,CO,Colorado
Worth_Iowa,Worth,IA,Iowa
Swisher_Texas,Swisher,TX,Texas
La Salle_Texas,La Salle,TX,Texas
Tillman_Oklahoma,Tillman,OK,Oklahoma
Lake_Tennessee,Lake,TN,Tennessee
Boise_Idaho,Boise,ID,Idaho
Rappahannock_Virginia,Rappahannock,VA,Virginia
Kingman_Kansas,Kingman,KS,Kansas
Forest_Pennsylvania,Forest,PA,Pennsylvania
Hutchinson_South Dakota,Hutchinson,SD,South Dakota
Dallam_Texas,Dallam,TX,Texas
Calhoun_West Virginia,Calhoun,WV,West Virginia
Dallas_Arkansas,Dallas,AR,Arkansas
Harney_Oregon,Harney,OR,Oregon
Pepin_Wisconsin,Pepin,WI,Wisconsin
Childress_Texas,Childress,TX,Texas
Lexington_Virginia,Lexington,VA,Virginia
Jefferson_Mississippi,Jefferson,MS,Mississippi
Wolfe_Kentucky,Wolfe,KY,Kentucky
Grant_Oregon,Grant,OR,Oregon
Quitman_Mississippi,Quitman,MS,Mississippi
Thurston_Nebraska,Thurston,NE,Nebraska
Nicholas_Kentucky,Nicholas,KY,Kentucky
Van Buren_Iowa,Van Buren,IA,Iowa
Grant_South Dakota,Grant,SD,South Dakota
Refugio_Texas,Refugio,TX,Texas
Jefferson_Nebraska,Jefferson,NE,Nebraska
Pierce_Nebraska,Pierce,NE,Nebraska
